comercio,referencia,marca,modelo,condicion,anio,kilometraje,ciudad,categoria,precio_contado_gs,entrega_gs,cuota_gs,cantidad_cuotas,solo_financiado,negociable,acepta_permuta,estado_documentacion,telefono,whatsapp,titulo,descripcion
dev-comercio-uno,DEV-U01,Honda,Wave 110S,0km,,,Asunción,Cub,9500000,1000000,480000,24,no,no,no,,0981 000 000,si,[DEV] Honda Wave 110S 0 km,"Publicación de prueba (local). Moto de trabajo y ciudad, 110 cc. Consultá colores disponibles."
dev-comercio-uno,DEV-U02,Honda,CG 110,0km,,,Asunción,Naked,8900000,900000,450000,24,no,no,no,,0981 000 000,si,[DEV] Honda CG 110 0 km,Publicación de prueba (local). Moto de calle económica para el día a día.
dev-comercio-uno,DEV-U03,Honda,XR 150L,0km,,,Asunción,Enduro / Cross,17500000,2000000,890000,24,no,no,no,,0981 000 000,si,[DEV] Honda XR 150L 0 km,Publicación de prueba (local). Para calle y camino de tierra.
dev-comercio-uno,DEV-U04,Honda,XR 190,0km,,,Asunción,Enduro / Cross,21900000,2500000,1100000,24,no,no,no,,0981 000 000,si,[DEV] Honda XR 190 0 km,Publicación de prueba (local).
dev-comercio-uno,DEV-U05,Honda,Navi 110,0km,,,Asunción,Scooter,10900000,1200000,560000,24,no,no,no,,0981 000 000,si,[DEV] Honda Navi 110 0 km,Publicación de prueba (local). Automática.
dev-comercio-uno,DEV-U06,Yamaha,XTZ 150,usada,2021,18500,Asunción,Enduro / Cross,15500000,,,,no,si,si,al_dia,0981 000 000,si,[DEV] Yamaha XTZ 150 2021,"Publicación de prueba (local). Un solo dueño, service al día, papeles al día."
dev-comercio-uno,DEV-U07,Honda,CB 500X,usada,2021,23000,Asunción,Touring,52000000,,,,no,si,no,al_dia,0981 000 000,si,[DEV] Honda CB 500X 2021,Publicación de prueba (local). Kit de transmisión nuevo.
dev-comercio-uno,DEV-U08,Kenton,GL 150,0km,,,Asunción,Naked,7200000,700000,380000,24,no,no,no,,0981 000 000,si,[DEV] Kenton GL 150 0 km,Publicación de prueba (local). Ideal para reparto.
dev-comercio-uno,DEV-U09,Bajaj,Boxer 150,usada,2023,9800,Asunción,Naked,7500000,,,,no,si,si,transferencia_pendiente,0981 000 000,si,[DEV] Bajaj Boxer 150 2023,Publicación de prueba (local). La transferencia está pendiente: preguntá antes de reservar.
dev-comercio-uno,DEV-U10,Honda,Rebel 500,0km,,,Asunción,Custom / Chopper,58000000,,,,no,no,no,,0981 000 000,si,[DEV] Honda Rebel 500 0 km,Publicación de prueba (local). Sólo contado.
